,ID_current,found_bccwj_file,found_bccwj_start,wrong,correct_bccwj_file,correct_bccwj_start,match_score,levenshtein
159,70_BCCWJ-ABC-ab-simple,LBn4_00008,26760.0,NaN,NaN,NaN,321.1419181,0.0
160,71_BCCWJ-ABC-ab-simple,LBd4_00020,40280.0,NaN,NaN,NaN,181.6136091,2.0
161,72_BCCWJ-ABC-ab-simple,LBhn_00022,33870.0,NaN,NaN,NaN,248.489205,4.0
162,73_BCCWJ-ABC-ab-simple,LBn9_00018,37500.0,NaN,NaN,NaN,120.4487164,9.0
163,74_BCCWJ-ABC-ab-simple,LBm0_00003,72110.0,NaN,NaN,NaN,315.8085652,0.0
164,75_BCCWJ-ABC-ab-simple,LBb2_00033,2380.0,NaN,NaN,NaN,259.0297616,0.0
165,76_BCCWJ-ABC-ab-simple,LBp7_00026,31010.0,NaN,NaN,NaN,15.93259648,0.0
166,77_BCCWJ-ABC-ab-simple,LBm1_00013,18660.0,NaN,NaN,NaN,213.1764097,0.0
167,78_BCCWJ-ABC-ab-simple,LBo9_00210,4070.0,NaN,NaN,NaN,291.4732686,0.0
168,79_BCCWJ-ABC-ab-simple,LBg9_00071,55100.0,NaN,NaN,NaN,181.41731,2.0
169,80_BCCWJ-ABC-ab-simple,LBn3_00045,3210.0,NaN,NaN,NaN,297.0692558,0.0
170,81_BCCWJ-ABC-ab-simple,LBhn_00004,6910.0,NaN,NaN,NaN,154.0806051,0.0
171,82_BCCWJ-ABC-ab-simple,LBk2_00051,61070.0,NaN,NaN,NaN,115.3506404,1.0
172,83_BCCWJ-ABC-ab-simple,LBe9_00205,26230.0,NaN,NaN,NaN,163.0429447,2.0
173,84_BCCWJ-ABC-ab-simple,LBn9_00258,76220.0,NaN,NaN,NaN,278.6693057,0.0
174,85_BCCWJ-ABC-ab-simple,LBj9_00074,41710.0,NaN,NaN,NaN,228.1704373,1.0
175,86_BCCWJ-ABC-ab-simple,LBl3_00075,2280.0,NaN,NaN,NaN,209.9679821,3.0
176,87_BCCWJ-ABC-ab-simple,LBa6_00004,11170.0,NaN,NaN,NaN,201.3127558,0.0
177,88_BCCWJ-ABC-ab-simple,LBk9_00138,31260.0,NaN,NaN,NaN,240.2027155,0.0
178,89_BCCWJ-ABC-ab-simple,LBf9_00191,74420.0,NaN,NaN,NaN,288.4985982,0.0
179,90_BCCWJ-ABC-ab-simple,LBc9_00103,51010.0,NaN,NaN,NaN,184.4060262,1.0
180,91_BCCWJ-ABC-ab-simple,NaN,NaN,NaN,LBa2_00026,170.0,0.0,NaN
181,92_BCCWJ-ABC-ab-simple,LBen_00011,7010.0,NaN,NaN,NaN,171.4640399,4.0
182,93_BCCWJ-ABC-ab-simple,LBj7_00010,18860.0,NaN,NaN,NaN,34.23232681,1.0
183,94_BCCWJ-ABC-ab-simple,LBk3_00104,5690.0,NaN,NaN,NaN,332.9107825,1.0
184,95_BCCWJ-ABC-ab-simple,LBb4_00018,27300.0,NaN,NaN,NaN,268.8384294,1.0
185,96_BCCWJ-ABC-ab-simple,LBg9_00011,97210.0,NaN,NaN,NaN,289.3290013,1.0
186,97_BCCWJ-ABC-ab-simple,LBf6_00013,15610.0,NaN,NaN,NaN,180.365503,0.0
187,98_BCCWJ-ABC-ab-simple,LBg3_00083,102330.0,NaN,NaN,NaN,114.004159,1.0
188,99_BCCWJ-ABC-ab-simple,LBd9_00084,3580.0,NaN,NaN,NaN,330.8707327,0.0
189,100_BCCWJ-ABC-ab-simple,LBc5_00017,32770.0,NaN,NaN,NaN,332.1896538,1.0
190,1_BCCWJ-ABC-ac-simple,LBl9_00031,44400.0,NaN,NaN,NaN,316.3931001,1.0
191,2_BCCWJ-ABC-ac-simple,LBl2_00012,18200.0,NaN,NaN,NaN,261.034439,0.0
192,3_BCCWJ-ABC-ac-simple,LBj9_00218,10980.0,NaN,NaN,NaN,205.4679373,3.0
193,4_BCCWJ-ABC-ac-simple,LBm9_00051,78850.0,NaN,NaN,NaN,203.069779,0.0
